0         ,1        ,2             ,3
longitude ,latitude ,baro_altitude ,velocity
-112.1298 ,37.2207  ,11582.4       ,232.54
14.2146   ,52.0551  ,3246.12       ,167.73
-79.4714  ,36.1312  ,1798.32       ,63.84
-97.5764  ,31.8896  ,3924.3        ,154.38
-93.4195  ,45.5676  ,579.12        ,50.04
-82.6117  ,27.7525  ,99.06         ,53.65
-81.0976  ,28.6544  ,9448.8        ,158.14
-103.551  ,36.5979  ,13716         ,253.61
-84.5795  ,42.687   ,2628.9        ,140.78
-104.6629 ,39.5877  ,3048          ,114.72
-77.392   ,34.5162  ,11582.4       ,221.46
-78.8524  ,38.0731  ,6400.8        ,259.31
-95.9447  ,31.0813  ,7315.2        ,205.28
-82.5504  ,39.2312  ,12192         ,196.97
114.0186  ,7.5897   ,10972.8       ,250.02
-87.4898  ,20.3404  ,7315.2        ,198.68
-93.8671  ,44.7704  ,3169.92       ,137.8
-73.983   ,6.0446   ,10050.78      ,239.5
-73.8903  ,40.6742  ,243.84        ,73.06
-114.2321 ,36.0938  ,1013.46       ,65.34
77.3372   ,24.357   ,10980.42      ,230.37
146.4042  ,-41.1153 ,11277.6       ,214.21
-70.4976  ,19.1241  ,7665.72       ,212.31
139.3255  ,-34.6067 ,5753.1        ,216.94
-82.2767  ,32.4312  ,12527.28      ,208.41
-78.5762  ,34.8225  ,609.6         ,54.13
-94.9549  ,39.5415  ,1501.14       ,136.95
          ,         ,              ,39.26
173.4087  ,-36.8447 ,7612.38       ,216.21
-111.7223 ,33.4618  ,              ,1.29
-100.9219 ,30.9068  ,11582.4       ,191.95
0.6377    ,44.1141  ,11277.6       ,214.19
88.4464   ,22.6433  ,              ,4.12
-83.9501  ,34.2349  ,1463.04       ,40.84
-77.4386  ,39.4361  ,510.54        ,39.08
86.5845   ,23.7284  ,12489.18      ,278.8
113.5464  ,23.5863  ,3467.1        ,192.62
          ,         ,990.6         ,56.79
-92.4731  ,31.5415  ,11277.6       ,275.05
-75.6795  ,45.3096  ,167.64        ,68.93
-79.4574  ,40.1211  ,10668         ,274.88
-89.6768  ,40.113   ,11269.98      ,265.93
-77.0138  ,38.6108  ,1165.86       ,107.52
-105.517  ,34.3347  ,6705.6        ,133.42
174.807   ,-37.0063 ,68.58         ,59.22
-115.1695 ,36.0813  ,              ,4.89
-75.0634  ,40.9209  ,10972.8       ,204.5
-87.1796  ,41.2992  ,9730.74       ,226.22
-84.8564  ,38.7174  ,7620          ,257.57
-58.0729  ,-13.2595 ,10668         ,230.66
-117.4558 ,46.9376  ,10058.4       ,246.97
1.7055    ,48.204   ,11582.4       ,242.99
-84.6297  ,47.4456  ,11582.4       ,231.15
5.0988    ,45.6776  ,335.28        ,76.94
-70.9984  ,20.6798  ,6583.68       ,181.82
-86.4422  ,37.0498  ,4533.9        ,149.03
-115.1605 ,36.0788  ,              ,0
-58.4426  ,-34.4545 ,3314.7        ,167.33
-76.5262  ,39.2356  ,266.7         ,60.1
-81.0923  ,28.9595  ,243.84        ,48.12
-98.3522  ,32.8125  ,5036.82       ,168.39
-97.0259  ,32.9348  ,266.7         ,64.82
-84.9993  ,31.3139  ,13106.4       ,197.16
-80.5259  ,27.778   ,822.96        ,84.92
-79.0224  ,37.9653  ,10370.82      ,204.83
-83.5816  ,34.8646  ,8427.72       ,198.6
-100.4683 ,41.6934  ,12496.8       ,220.02
168.4617  ,-44.6917 ,4351.02       ,156.63
-109.3448 ,32.3854  ,7010.4        ,173.31
77.1009   ,28.5636  ,              ,15.43
-89.5552  ,37.9987  ,11277.6       ,289.39
-113.1046 ,37.9369  ,8526.78       ,207.77
-81.2716  ,31.8273  ,1760.22       ,61.66
2.476     ,44.5432  ,10668         ,213.15
-97.8997  ,32.1663  ,3451.86       ,179.19
-120.4419 ,34.6902  ,982.98        ,92.72
-102.0446 ,37.3063  ,10972.8       ,191.74
-95.9807  ,36.0575  ,266.7         ,43.69
76.5925   ,23.6138  ,11887.2       ,280.38
-123.5421 ,36.8435  ,10980.42      ,190.42
